seqno,noref,nama,alamat1,alamat2,alamat3,kota,kodepos,tglupl,tipe,serv_type,HARGA
201701300893MG,001068678MG,DEDE SAEPULLOH,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300894MG,010234150MG,DENI NOVITA SARY,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300895MG,010304832MG,DENNY MARDIYAN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300896MG,010303977MG,DESY CHAIRANI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300897MG,001436648MG,DEVI JUNIARSIH,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300898MG,010306377MG,DHIMAZ RHAMA AJI WIJ,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300899MG,006365523MG,DIAN BUDIANTO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300900MG,001114985MG,DIMAS ARDIANSYAH,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300901MG,007918015MG,DINAR ASTERIA PERMAT,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300902MG,010306108MG,DITA WINDRIYANTI KAR,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300903MG,010304823MG,DITO DESDWIDANTO BUD,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300904MG,010305252MG,DONI ADRIA NOVRI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300905MG,010305458MG,DONNY ANTONIUS PAKAS,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300906MG,006429581MG,EDU PRIYANTO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300907MG,006498523MG,EKA PUTERI  DWI MART,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300908MG,006827945MG,EKO SIGIT WIBOWO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300909MG,002751141MG,ELINDA SAFITRI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300910MG,010306082MG,ELLY LESWATI TATANG,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300911MG,006542048MG,ELLY SETIAWATI HALIM,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300912MG,009851387MG,EMA HERMAWATI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300913MG,009997300MG,ENDRI YUNIANTI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300914MG,004699990MG,ENJANG SUASONO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300915MG,010046167MG,ERDIANI SAFITRI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300916MG,010208571MG,ERIKA KUSUMO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300917MG,003801602MG,ERINA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300918MG,001398458MG,ERNA GUNAWAN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300919MG,010304084MG,EVIE RIZKA AMELIA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300920MG,002207064MG,FACHRUROZI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300921MG,001233842MG,FANDI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300922MG,005378557MG,FITA MELIAWATI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300923MG,001290708MG,FITRA PRIYADI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300924MG,001322634MG,FITRA PRIYADI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300925MG,001191201MG,FITRIANA DAMAYANTI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300926MG,010302950MG,FRANSISCA CHRISTIANT,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300927MG,009110222MG,GIPA YULIANI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300928MG,010303272MG,HANIK NIKMATUL HUSNA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300929MG,007600321MG,HANIN PUTRIA ULVA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300930MG,001957050MG,HANS LEE RUSLI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300931MG,010305207MG,HARDI ARIEF PUTRANTO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300932MG,002996244MG,HARMAWAN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300933MG,009737154MG,HASANUDIN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300934MG,009532053MG,HASANUDIN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300935MG,009308206MG,HELMI WIJAYA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300936MG,006328672MG,HENDRI ALFIAN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300937MG,001116260MG,HENNI TJANDRA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300938MG,008457680MG,HENNY USMIN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300939MG,010302790MG,HERI MIHARJA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300940MG,010129023MG,HIDAYAH WIDYANINGRUM,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300941MG,000961227MG,HIOE KUOK JUNG,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300942MG,009833237MG,I GUSTI BAGUS ARDI U,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300943MG,010304002MG,IKA ELLYANTI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300944MG,010223153MG,ILHAM PRASETYO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300945MG,002246475MG,INDAH PURNAMA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300946MG,000170870MG,INDIJATI KOLOPAKING,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300947MG,002036400MG,INGGAR RUKMANA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300948MG,007640804MG,INGRID ANGELO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300949MG,010303566MG,INTAN PANCAWELA MANU,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300950MG,009769431MG,IRPAN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300951MG,010303940MG,ISMI SETYANINGSIH,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300952MG,002783973MG,JANA FADILAH,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300953MG,010306411MG,JANUARDI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300954MG,010304075MG,JHON SURYADI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300955MG,001160114MG,JIMMY JR RONALD LALO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300956MG,001129282MG,JIMMY YAHYA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300957MG,008885316MG,JULIANA PURBA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300958MG,001595958MG,KARTIKA SARI DEWI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300959MG,009548368MG,KEZIA STEPHANI MARPA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300960MG,000211833MG,KHO MIAUW DJUNG,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300961MG,001294971MG,KUSYATI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300962MG,001395727MG,KUSYATI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300963MG,001588352MG,LIA ANGLIANA SUDARSO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300964MG,001005158MG,LIAN TJE,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300965MG,010306395MG,LIAUW SANTI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300966MG,001185436MG,LIE KAM LOK,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300967MG,001730705MG,LILIK WINARTI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300968MG,001025498MG,LILIS,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300969MG,001114911MG,LIM SIU YEN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300970MG,002201465MG,LIM SULAIMAN JAYA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300971MG,010306386MG,LINDA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300972MG,002238197MG,LINDA FEBRIYANTI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300973MG,001379633MG,MARION,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300974MG,010306279MG,MARTHINO SJATIRI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300975MG,004984912MG,MAYA NURHIJRIAH,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300976MG,000168326MG,MAYA YUANITA PARAMAY,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300977MG,001367525MG,MEGAWATI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300978MG,006288313MG,MIFTAH FIRDAUS,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300979MG,004904385MG,MIFTAKHUL HUDA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300980MG,006352993MG,MONIK WESTRI PERTIWI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300981MG,002169491MG,MUHAMAD IKBAL,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300982MG,010304066MG,MUHAMMAD IQBAL,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300983MG,010303584MG,MUKI KUSWARDIMAN SAM,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300984MG,004011731MG,NANDA ISTIQADEVI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300985MG,010305190MG,NANI CLARA SINAGA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300986MG,003928520MG,NANTI SIMATUPANG,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300987MG,003559517MG,NATALIA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300988MG,007140168MG,NENENG RASYIDAH,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300989MG,007964278MG,NIDIAWATI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300990MG,002026421MG,NINGSIH YUNIATI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300991MG,005830283MG,NINGSIH YUNIATI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300992MG,002056085MG,NOVI RAHMAWATI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300993MG,001626621MG,NOVI RAHMAWATI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300994MG,001910182MG,NOVIDASARI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300995MG,001910620MG,NOVIDASARI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300996MG,004982736MG,NURAENI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300997MG,001319603MG,NURCHAYATI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300998MG,010305234MG,NURHAYATI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300999MG,002748904MG,NURHAYATI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301000MG,001990516MG,NURMANA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301001MG,000985176MG,NURSIAH,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301002MG,005509498MG,OKTA FIANA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301003MG,009769459MG,OKTRI RESTA ANGGARA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301004MG,008283485MG,OTTY ASIH TRISNASARI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301005MG,009980782MG,PALAR WIRANTA LUMBAN,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301006MG,002796692MG,PAULA PULSASIA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301007MG,009489207MG,PETRUS,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301008MG,006645295MG,PITRI KARINI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301009MG,008576677MG,PITRI KARINI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301010MG,001105872MG,PRINGGO UTOMO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301011MG,002094075MG,PRISKA SEPTIVIA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301012MG,004872748MG,PRIYANTI DWI OFTAVIA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301013MG,008276607MG,PRIYANTI DWI OFTAVIA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301014MG,001011385MG,RAHMAWATY,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301015MG,010305261MG,RAHUTOMO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301016MG,000858308MG,RANIA LUBNA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301017MG,010303959MG,RANTI NASUTION,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301018MG,001490139MG,RASFINIE,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301019MG,001491337MG,RASFINIE,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301020MG,010303619MG,RASYIDAH,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701301021MG,004137614MG,RENDY ARI YADI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
